State Statistics and Loadings,,,,,,,,,,,
Search Criteria:  Reporting year = 2023,,,,,,,,,,,
,,,,,,,,,,,
EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
04,ALABAMA,175,1149,174,995,99,87,1562346528,26132562257,466652,751374
10,ALASKA,40,51,38,39,95,76,118306091,3058088,45937,208
09,AMERICAN SAMOA,4,1,3,1,75,100,3965400,30433,88064,313
09,ARIZONA,76,91,68,89,89,98,1183144821,25204360,204597,1090
06,ARKANSAS,117,682,117,679,100,100,480816987,35285188,158305,29553
09,CALIFORNIA,227,186,213,171,94,92,3608784203,118872222,10559924,63971
08,COLORADO,124,423,119,270,96,64,839606449,274045834,149185,735366
01,CONNECTICUT,84,64,84,59,100,92,40227542,35927168,995021,9917
03,DELAWARE,15,32,14,27,93,84,11338126,443882,305417,833
03,DISTRICT OF COLUMBIA,4,7,4,5,100,71,8941589,157813,4715,661
04,FLORIDA,400,254,168,221,42,87,1465631724,211876312,780754,386636
04,GEORGIA,208,507,203,430,98,85,190123549,128391700,1218077,22033
09,GUAM,4,8,4,6,100,75,2541711,1034381,1485,12522
06,GULF OF MEXICO,,1,,0,,0,,,,
04,GULF OF MEXICO EAST,,1,,0,,0,,,,
09,HAWAII,18,87,16,24,89,28,45449292,3512167,13065,3253
10,IDAHO,38,129,37,111,97,86,101742569,79378923884,20429,1784
05,ILLINOIS,267,1227,267,1149,100,94,690820916,433129427,3665890,176537
05,INDIANA,192,8313,192,1526,100,18,1999599566,173131117,871898,10365
07,IOWA,142,1426,136,1120,96,79,119392807,51064610,156725,8744
07,KANSAS,58,1321,58,686,100,52,211951423,81022536,123325,5420
04,KENTUCKY,139,1224,137,1210,99,99,458481192,396767368,3617500,82189
06,LOUISIANA,243,1012,242,983,100,97,5429432093,14135100672,633141,393306821
01,MAINE,74,323,71,191,96,59,79757902,1247723,12655,2391
09,MARIANA ISLANDS,2,3,2,2,100,67,616047,0,8,0
03,MARYLAND,92,367,79,322,86,88,54321091,54414688,460962,11667
01,MASSACHUSETTS,118,65,113,56,96,86,165532466,994858008,628063,33288
05,MICHIGAN,183,667,174,358,95,54,894435217,719134079,254349,194024
05,MINNESOTA,102,539,99,314,97,58,2019766493,342256285,165587,16192
04,MISSISSIPPI,91,1055,90,999,99,95,56186999,191249874,88195,25377
07,MISSOURI,177,2651,177,1885,100,71,1012024850,3.42269E+11,378818,506529395
08,MONTANA,32,142,31,126,97,89,75143467,28604154,63478,2356964
07,NEBRASKA,52,624,51,520,98,83,121363052,2783986181,51701,254326
09,NEVADA,15,82,10,68,67,83,716207883,20087780151,21040,22171265
01,NEW HAMPSHIRE,46,22,46,21,100,95,168169351,717056,516346,15795
02,NEW JERSEY,131,334,131,296,100,89,348946222,47252170,127468,8963
06,NEW MEXICO,31,77,31,75,100,97,151685786,11935560,55936980,17307
02,NEW YORK,310,1279,306,1060,99,83,960601062,3956509119,1072295,289706
04,NORTH CAROLINA,223,1151,214,831,96,72,226401880,4107550975,67275,81608
08,NORTH DAKOTA,23,81,23,78,100,96,155853613,28705335,70430,41768
05,OHIO,283,3001,282,2933,100,98,4054740356,1349500441,101522,76876
06,OKLAHOMA,106,342,104,339,98,99,2640432012,757114950,222271,13361
10,OREGON,73,269,66,240,90,89,169758824,24070598,41863,28347
03,PENNSYLVANIA,394,7506,389,3492,99,47,7075525987,4356815721,19674183,1498915
02,PUERTO RICO,63,136,63,134,100,99,2619976874,14562971,125166,2723
01,RHODE ISLAND,23,46,23,40,100,87,16882696,8389482,73713,1408
04,SOUTH CAROLINA,156,528,156,219,100,41,174306906,4405648,105613,273300
08,SOUTH DAKOTA,23,226,23,199,100,88,25027214,47965389,8467,1567
04,TENNESSEE,163,889,162,745,99,84,1316615781,75780364,730530,206739
06,TEXAS,730,2832,693,2128,95,75,13545407029,951373396,1218145,1090244
08,UTAH,42,173,40,93,95,54,436685540,171496035,241631,15407
01,VERMONT,34,299,33,136,97,45,12309635,28570079,14518,2814
02,VIRGIN ISLANDS,8,74,8,69,100,93,2694772,1737749576,830,2891
03,VIRGINIA,150,1017,139,904,93,89,406417965,138125440,201032,58745
10,WASHINGTON,76,373,51,185,67,50,514012,2154252,182,326
03,WEST VIRGINIA,88,1897,87,1648,99,87,526569818,8540888832,1056350,3434877
05,WISCONSIN,126,1154,121,596,96,52,159074549,178150314,22170,4960
08,WYOMING,24,564,24,484,100,86,50588388,2182546252,1447,18107001